alert_id,fired_at,session_date,ticker,signal_type,price,pct_b,rsi,vol_ratio,adx,dist_52w_high,tier,checked_at
1269,2026-09-02T13:33:39.730552+00:00,2026-09-02,CMCSA,BREAKOUT,26.64,64.5,57.7,0.02,28.4236969004199,-19.02709480380206,PREFER-HIGH,2026-09-02T13:47:34.390841+00:00
1270,2026-09-02T13:36:35.474687+00:00,2026-09-02,NFLX,BREAKOUT,81.38,74.8,60.8,0.1,21.62262620346779,-36.0300815271714,PREFER-HIGH,2026-09-02T13:47:34.547322+00:00
1271,2026-09-02T13:36:43.940423+00:00,2026-09-02,ABBV,BREAKOUT,262.29,70.9,58.3,0.13,23.728303223261896,-2.248377997098208,PREFER-HIGH,2026-09-02T13:47:34.878556+00:00
1272,2026-09-02T13:42:33.806329+00:00,2026-09-02,SMCI,BREAKOUT,37.39,60.1,57.3,0.19,24.652655179398792,-37.44035635045028,PREFER-HIGH,2026-09-02T13:47:35.000648+00:00
1273,2026-09-02T13:45:26.881327+00:00,2026-09-02,CVX,BREAKOUT,211.41,90.3,71.9,0.3,26.703000429322444,-0.047355362357046855,PREFER-HIGH,2026-09-02T13:47:35.123001+00:00
1274,2026-09-02T13:45:47.280031+00:00,2026-09-02,DIS,BREAKOUT,107.67,62.8,57.3,0.12,28.774134354447156,-10.619316312755366,PREFER-HIGH,2026-09-02T13:47:35.270289+00:00
1275,2026-09-02T13:51:21.730366+00:00,2026-09-02,META,BREAKOUT,592.25,74.7,55.0,0.39,12.3121511988973,-25.851973338373117,PREFER-HIGH,2026-09-02T13:56:54.522575+00:00
1276,2026-09-02T13:51:37.551027+00:00,2026-09-02,DHR,BREAKOUT,211.52,57.8,55.4,0.2,22.02486716961853,-14.50940298830189,PREFER-HIGH,2026-09-02T13:56:54.648597+00:00
1277,2026-09-02T13:57:45.655346+00:00,2026-09-02,V,BREAKOUT,378.27,71.6,59.2,0.15,23.13202135902012,-2.9858907646474675,PREFER-HIGH,2026-09-02T14:11:54.444633+00:00
1278,2026-09-02T14:00:22.637876+00:00,2026-09-02,WFC,BREAKOUT,88.7,82.6,60.5,0.4,11.984582304637438,-9.700174845239404,PREFER-HIGH,2026-09-02T14:11:54.633217+00:00
1279,2026-09-02T14:03:28.455478+00:00,2026-09-02,VLO,BREAKOUT,363.96,83.0,72.8,0.41,31.689868977651187,0.0,PREFER-MID,2026-09-02T14:11:54.836813+00:00
1280,2026-09-02T14:06:24.260723+00:00,2026-09-02,NVDA,BREAKOUT,222.25,64.6,55.3,0.49,15.587922530836893,-7.762790627528204,PREFER-HIGH,2026-09-02T14:11:54.966146+00:00
